model,redshift,sub_id,logMstar,resid,bbarolo_rc
CDM,2.0,17663,10.470,10.1049,0
SIDM1,3.0,11356,9.825,10.0537,0
vSIDM,2.0,27693,9.921,10.0260,0
CDM,2.0,27212,10.191,10.0105,0
SIDM1,4.0,3319,10.266,10.0065,0
CDM,1.0,62013,10.063,10.0041,0
SIDM1,3.0,13955,10.061,9.9354,0
CDM,5.0,1202,10.274,9.9204,0
vSIDM,3.0,9765,10.335,9.8937,0
vSIDM,3.0,14086,9.930,9.8067,0
vSIDM,1.0,42775,10.735,9.7532,0
SIDM1,4.0,1464,10.405,9.7388,0
vSIDM,5.0,959,10.250,9.6704,0
SIDM1,3.0,10023,10.478,9.6417,0
SIDM1,0.5,59836,10.578,9.6168,0
CDM,1.0,42223,10.621,9.5928,0
SIDM1,2.0,8851,11.077,9.5924,0
SIDM1,2.0,13344,10.535,9.5515,0
vSIDM,3.0,9820,10.164,9.4883,0
SIDM1,2.0,26145,10.278,9.4663,0
vSIDM,4.0,3226,10.083,9.4279,0
CDM,3.0,6005,10.623,9.4224,0
SIDM1,2.0,26656,10.462,9.3745,0
vSIDM,2.0,25586,10.132,9.3103,0
CDM,4.0,5208,10.016,9.3044,0
SIDM1,4.0,5512,9.841,9.3030,0
SIDM1,4.0,2153,10.508,9.2754,0
SIDM1,3.0,9247,10.560,9.2202,0
vSIDM,3.0,14625,9.924,9.2065,0
vSIDM,1.0,41093,10.597,9.1959,0
vSIDM,3.0,6959,10.392,9.1551,0
CDM,3.0,16335,9.900,9.0872,0
CDM,4.0,5769,9.851,9.0860,0
vSIDM,2.0,10907,10.359,9.0816,0
CDM,4.0,1056,10.938,9.0667,0
CDM,3.0,13012,10.066,9.0590,0
SIDM1,3.0,13758,10.187,9.0448,0
CDM,2.0,18893,10.811,9.0427,0
CDM,3.0,5086,10.606,9.0301,0
vSIDM,4.0,6575,10.005,8.9977,0
vSIDM,1.0,35261,10.813,8.9936,0
SIDM1,2.0,31418,10.125,8.9782,0
CDM,3.0,17563,9.901,8.9710,0
CDM,2.0,12087,10.352,8.9572,0
CDM,4.0,3906,10.063,8.9564,0
CDM,2.0,18026,10.746,8.9512,0
vSIDM,0.5,78009,9.891,8.9169,0
CDM,2.0,32381,9.889,8.9118,0
CDM,3.0,14346,10.256,8.8776,0
CDM,2.0,30113,10.231,8.8084,0
CDM,4.0,4430,10.206,8.8079,0
CDM,3.0,9287,9.957,8.7922,0
SIDM1,5.0,602,10.438,8.7854,0
vSIDM,2.0,22133,10.174,8.7734,0
SIDM1,2.0,34211,9.972,8.7527,0
SIDM1,2.0,12816,10.464,8.7455,0
vSIDM,3.0,7251,10.593,8.7384,0
CDM,3.0,14000,9.845,8.7053,0
SIDM1,4.0,4263,10.237,8.6877,0
CDM,3.0,15915,9.800,8.6533,0
SIDM1,3.0,10473,10.322,8.6450,0
SIDM1,2.0,10826,10.421,8.6362,0
SIDM1,3.0,10614,10.062,8.6205,0
vSIDM,3.0,11357,10.281,8.6101,0
vSIDM,3.0,5567,9.891,8.6006,0
vSIDM,3.0,9115,10.376,8.5890,0
CDM,2.0,15827,10.528,8.5853,0
SIDM1,3.0,6781,10.590,8.5469,0
CDM,2.0,34981,10.150,8.5404,0
vSIDM,1.0,38725,10.811,8.5336,0
SIDM1,2.0,29620,10.275,8.5239,0
SIDM1,3.0,12218,10.108,8.5090,0
vSIDM,1.0,30561,10.961,8.4974,0
CDM,3.0,6366,10.464,8.4849,0
SIDM1,3.0,14434,10.015,8.4295,0
vSIDM,2.0,14595,10.490,8.4264,0
SIDM1,2.0,39877,9.810,8.4215,0
vSIDM,3.0,4547,10.843,8.4202,0
vSIDM,3.0,10082,9.904,8.3871,0
vSIDM,3.0,12014,10.026,8.3800,0
CDM,2.0,19141,10.752,8.3434,0
SIDM1,2.0,34495,10.187,8.3405,0
vSIDM,4.0,5145,9.891,8.3394,0
SIDM1,2.0,4302,10.991,8.3386,0
SIDM1,3.0,5262,10.905,8.3160,0
SIDM1,3.0,15523,9.957,8.3135,0
CDM,3.0,18231,9.801,8.3006,0
vSIDM,4.0,5182,10.151,8.2762,0
vSIDM,3.0,11420,10.293,8.2761,0
CDM,2.0,26324,10.223,8.2706,0
SIDM1,1.0,33193,10.826,8.2649,0
SIDM1,4.0,4894,9.844,8.2210,0
vSIDM,3.0,6247,10.287,8.2015,0
vSIDM,2.0,12061,10.684,8.1700,0
SIDM1,2.0,19289,9.996,8.1659,0
SIDM1,3.0,13420,9.883,8.1390,0
CDM,2.0,21168,10.141,8.1379,0
CDM,3.0,8095,10.567,8.1349,0
CDM,3.0,2880,10.648,8.0921,0
SIDM1,1.0,22836,11.080,8.0851,0
vSIDM,4.0,4393,10.006,8.0719,0
vSIDM,3.0,11538,9.969,8.0605,0
vSIDM,2.0,17427,10.767,8.0466,0
SIDM1,3.0,8728,10.474,8.0455,0
vSIDM,4.0,3936,10.189,8.0295,0
CDM,2.0,31553,10.072,8.0152,0
SIDM1,3.0,5527,10.254,7.9893,0
SIDM1,3.0,14017,10.155,7.9655,0
CDM,2.0,28900,10.249,7.9649,0
vSIDM,3.0,13402,9.965,7.9553,0
SIDM1,3.0,10931,10.168,7.9250,0
vSIDM,2.0,27556,10.247,7.9112,0
vSIDM,1.0,37720,10.809,7.9032,0
SIDM1,2.0,38354,10.035,7.8890,0
SIDM1,3.0,7736,10.365,7.8823,0
vSIDM,3.0,3377,10.878,7.8739,0
SIDM1,3.0,15877,9.838,7.8734,0
vSIDM,3.0,8253,9.992,7.8718,0
CDM,3.0,11667,10.114,7.8611,0
CDM,2.0,17388,10.725,7.8598,0
SIDM1,5.0,2620,9.850,7.8509,0
CDM,3.0,3679,10.257,7.8314,0
CDM,1.0,40193,10.966,7.8243,0
CDM,3.0,10941,10.504,7.8086,0
CDM,3.0,9760,10.434,7.7970,0
vSIDM,3.0,9009,9.904,7.7932,0
SIDM1,3.0,15748,9.965,7.7889,0
CDM,2.0,31004,9.888,7.7748,0
CDM,0.5,52114,10.847,7.7708,0
SIDM1,1.0,16067,11.425,7.7569,0
CDM,4.0,3758,10.200,7.7528,0
SIDM1,2.0,43602,9.813,7.7522,0
SIDM1,2.0,15585,10.543,7.7511,0
vSIDM,3.0,12987,10.038,7.7292,0
vSIDM,5.0,2380,9.811,7.7083,0
CDM,3.0,11588,10.091,7.7062,0
CDM,1.0,56625,10.343,7.6834,0
CDM,1.0,35837,10.882,7.6519,0
SIDM1,2.0,22152,10.528,7.6503,0
vSIDM,0.5,66045,10.549,7.6485,0
CDM,3.0,10629,10.329,7.6381,0
SIDM1,3.0,12297,10.172,7.6321,0
CDM,2.0,17516,10.596,7.6198,0
vSIDM,2.0,8123,10.476,7.6146,0
vSIDM,3.0,11289,10.214,7.5794,0
vSIDM,3.0,9582,10.474,7.5706,0
SIDM1,4.0,4666,10.056,7.5694,0
vSIDM,2.0,11660,10.644,7.5633,0
CDM,2.0,22602,10.490,7.5617,0
vSIDM,2.0,16403,10.458,7.5545,0
CDM,2.0,25487,10.359,7.5498,0
SIDM1,4.0,5403,10.079,7.5498,0
SIDM1,3.0,17856,9.865,7.5339,0
CDM,2.0,31895,10.122,7.5301,0
CDM,2.0,28494,10.059,7.5292,0
vSIDM,3.0,2516,10.784,7.5207,0
SIDM1,2.0,14400,10.897,7.5176,0
SIDM1,3.0,13909,9.911,7.5114,0
CDM,4.0,2896,10.479,7.5093,0
vSIDM,1.0,14393,10.938,7.5052,0
SIDM1,3.0,7817,10.616,7.4910,0
CDM,2.0,0,11.453,7.4896,0
SIDM1,2.0,29257,10.239,7.4722,0
CDM,3.0,10305,9.860,7.4616,0
SIDM1,4.0,4315,10.239,7.4524,0
SIDM1,2.0,36898,9.997,7.4489,0
vSIDM,4.0,2982,10.238,7.4413,0
vSIDM,3.0,10011,10.269,7.4405,0
vSIDM,2.0,20662,10.314,7.4276,0
SIDM1,3.0,5726,10.632,7.4195,0
CDM,4.0,4529,10.196,7.3919,0
SIDM1,1.0,37224,10.771,7.3902,0
vSIDM,2.0,29772,9.928,7.3798,0
CDM,4.0,1724,10.578,7.3621,0
CDM,2.0,30289,10.254,7.3573,0
SIDM1,2.0,27057,10.354,7.3524,0
vSIDM,1.0,46426,10.106,7.3441,0
SIDM1,0.5,74992,10.451,7.3347,0
SIDM1,2.0,35239,10.175,7.3328,0
SIDM1,3.0,11023,10.540,7.3215,0
SIDM1,3.0,21110,10.002,7.3122,0
vSIDM,2.0,28960,10.280,7.3015,0
vSIDM,3.0,12943,10.224,7.2904,0
vSIDM,1.0,27914,11.050,7.2901,0
SIDM1,3.0,8059,10.240,7.2766,0
vSIDM,4.0,1727,10.455,7.2654,0
SIDM1,4.0,5554,9.910,7.2641,0
CDM,1.0,29379,11.084,7.2540,0
vSIDM,2.0,11841,10.864,7.2360,0
vSIDM,3.0,10243,9.944,7.2257,0
vSIDM,3.0,8068,10.402,7.2193,0
SIDM1,2.0,23589,10.339,7.2112,0
CDM,3.0,4194,10.578,7.1920,0
CDM,2.0,29924,9.918,7.1872,0
SIDM1,4.0,991,10.957,7.1786,0
SIDM1,3.0,3955,10.605,7.1721,0
vSIDM,2.0,8788,10.815,7.1664,0
vSIDM,2.0,23345,10.468,7.1610,0
CDM,1.0,44603,10.677,7.1261,0
vSIDM,3.0,18885,9.842,7.1227,0
SIDM1,3.0,21373,9.793,7.1220,0
SIDM1,2.0,43467,9.761,7.0958,0
SIDM1,2.0,27556,10.080,7.0941,0
vSIDM,2.0,19593,10.212,7.0829,0
vSIDM,4.0,2014,10.527,7.0787,0
vSIDM,3.0,14533,9.946,7.0759,0
SIDM1,3.0,16076,9.861,7.0642,0
CDM,2.0,8967,10.476,7.0341,0
CDM,1.0,46568,10.546,7.0322,0
vSIDM,3.0,9423,9.979,7.0306,0
CDM,1.0,51604,10.140,7.0277,0
SIDM1,2.0,28016,10.261,7.0244,0
SIDM1,4.0,5905,10.188,7.0218,0
vSIDM,2.0,20511,10.124,7.0195,0
SIDM1,2.0,20078,10.460,7.0119,0
SIDM1,3.0,11090,10.316,6.9916,0
CDM,3.0,11428,10.293,6.9612,0
SIDM1,3.0,16900,9.794,6.9498,0
SIDM1,3.0,6656,10.310,6.9462,0
vSIDM,4.0,3841,10.327,6.9429,0
vSIDM,2.0,25393,10.453,6.9336,0
vSIDM,3.0,14574,9.974,6.9321,0
CDM,2.0,40303,9.886,6.9289,0
SIDM1,2.0,22304,10.458,6.9134,0
CDM,1.0,50037,10.662,6.9123,0
CDM,2.0,25581,10.312,6.9057,0
vSIDM,1.0,41311,10.669,6.8978,0
CDM,2.0,13156,10.703,6.8935,0
SIDM1,2.0,38614,9.850,6.8895,0
vSIDM,3.0,15485,9.830,6.8893,0
vSIDM,4.0,4127,10.000,6.8885,0
CDM,3.0,15243,9.950,6.8773,0
CDM,3.0,14189,10.002,6.8751,0
SIDM1,1.0,46331,10.299,6.8660,0
SIDM1,2.0,16530,10.702,6.8625,0
CDM,3.0,16090,9.809,6.8611,0
vSIDM,1.0,25389,10.963,6.8594,0
SIDM1,4.0,3753,10.111,6.8584,0
CDM,2.0,30582,10.040,6.8549,0
vSIDM,3.0,10174,10.077,6.8536,0
SIDM1,3.0,13242,9.952,6.8529,0
vSIDM,2.0,17568,10.614,6.8508,0
SIDM1,1.0,46146,10.228,6.8396,0
SIDM1,3.0,13511,10.119,6.8379,0
vSIDM,3.0,12322,9.792,6.8362,0
vSIDM,3.0,10289,10.092,6.8312,0
CDM,3.0,14868,9.998,6.8277,0
CDM,3.0,14294,9.937,6.8236,0
vSIDM,2.0,15311,10.533,6.8228,0
SIDM1,4.0,5223,10.016,6.8219,0
CDM,3.0,7616,10.708,6.8169,0
CDM,0.5,74382,10.215,6.8140,0
vSIDM,3.0,10357,10.129,6.8135,0
SIDM1,1.0,25893,11.023,6.8077,0
CDM,1.0,27282,10.980,6.8053,0
vSIDM,2.0,21703,10.359,6.7948,0
SIDM1,3.0,15914,9.887,6.7920,0
SIDM1,3.0,4842,10.661,6.7918,0
SIDM1,2.0,21141,10.210,6.7887,0
CDM,2.0,20724,10.488,6.7858,0
SIDM1,3.0,10800,10.535,6.7850,0
vSIDM,3.0,14370,9.861,6.7829,0
CDM,2.0,11347,10.916,6.7804,0
SIDM1,2.0,22033,10.319,6.7751,0
SIDM1,2.0,17085,10.479,6.7634,0
vSIDM,2.0,21062,10.515,6.7535,0
CDM,2.0,26243,10.307,6.7476,0
CDM,3.0,10240,10.411,6.7456,0
CDM,2.0,39548,9.765,6.7392,0
vSIDM,2.0,25353,10.232,6.7277,0
vSIDM,3.0,14179,9.842,6.7206,0
vSIDM,4.0,4357,10.057,6.7115,0
vSIDM,2.0,23674,10.350,6.7088,0
vSIDM,3.0,0,11.266,6.7077,0
vSIDM,3.0,16860,9.978,6.7057,0
vSIDM,2.0,14003,10.500,6.7037,0
vSIDM,3.0,12251,10.068,6.7008,0
SIDM1,3.0,17012,9.892,6.6954,0
SIDM1,3.0,5945,9.944,6.6946,0
vSIDM,3.0,15637,9.770,6.6942,0
SIDM1,2.0,18382,10.764,6.6938,0
CDM,2.0,33869,9.993,6.6894,0
CDM,3.0,13579,10.085,6.6871,0
SIDM1,0.5,73694,10.251,6.6815,0
SIDM1,2.0,30594,10.096,6.6750,0
CDM,1.0,52564,9.986,6.6731,0
CDM,3.0,18024,9.810,6.6707,0
vSIDM,3.0,14444,9.811,6.6691,0
vSIDM,3.0,561,11.371,6.6674,0
CDM,2.0,34602,9.844,6.6545,0
CDM,3.0,13207,10.274,6.6476,0
vSIDM,3.0,13898,9.976,6.6355,0
SIDM1,2.0,39796,9.773,6.6244,0
CDM,3.0,11809,9.951,6.6242,0
SIDM1,2.0,12194,10.869,6.6058,0
SIDM1,3.0,18413,9.886,6.5977,0
CDM,2.0,13664,10.858,6.5907,0
vSIDM,1.0,48396,10.283,6.5840,0
CDM,4.0,5386,10.067,6.5797,0
vSIDM,2.0,33078,9.929,6.5779,0
CDM,4.0,2028,10.619,6.5771,0
SIDM1,4.0,4942,10.091,6.5748,0
CDM,4.0,4381,10.233,6.5684,0
SIDM1,2.0,18076,10.630,6.5648,0
CDM,2.0,13326,10.400,6.5574,0
